applicant_id,name,age,income,employment_status,credit_score,loan_amount,loan_purpose,existing_debt,approved
2092,Anika Singh,30,150000,Self-Employed,616,159601,Debt Consolidation,21394,0
2093,Myra Singh,41,339663,Salaried,707,482652,Car Purchase,149700,0
2094,Sara Singh,21,769595,Salaried,635,1156557,Medical,305332,0
2095,Aisha Singh,44,245281,Unemployed,558,278324,Home Renovation,28187,0
2096,Aarav Reddy,37,348749,Salaried,612,616424,Education,44484,0
2097,Vivaan Reddy,31,1096729,Self-Employed,667,869594,Medical,214796,1
2098,Aditya Reddy,42,649865,Self-Employed,637,766548,Car Purchase,156915,0
2099,Vihaan Reddy,24,521925,Self-Employed,574,612441,Car Purchase,113070,0
2100,Arjun Reddy,36,383682,Salaried,740,278679,Debt Consolidation,137219,1
2101,Sai Reddy,31,430984,Salaried,613,406129,Debt Consolidation,162337,0
2102,Atharv Reddy,33,716624,Salaried,629,933021,Business Expansion,181960,0
2103,Ishaan Reddy,36,499873,Salaried,650,567081,Business Expansion,215514,0
2104,Ananya Reddy,33,262386,Unemployed,602,307960,Business Expansion,21550,0
2105,Diya Reddy,30,563940,Salaried,580,448087,Home Renovation,224486,0
2106,Aadhya Reddy,26,270958,Self-Employed,582,426760,Home Renovation,161338,0
2107,Aarohi Reddy,24,499225,Salaried,651,662244,Medical,170529,0
2108,Anika Reddy,35,402361,Contract,662,436379,Debt Consolidation,162673,0
2109,Myra Reddy,24,1345252,Salaried,650,1193971,Business Expansion,217809,1
2110,Sara Reddy,34,543984,Contract,587,100000,Education,208333,0
2111,Aisha Reddy,43,530968,Salaried,590,944106,Education,30466,0
2112,Aarav Gupta,29,1112113,Self-Employed,636,1165493,Business Expansion,426433,0
2113,Vivaan Gupta,34,444929,Salaried,628,375808,Education,9705,1
2114,Aditya Gupta,28,713387,Salaried,590,295521,Home Renovation,80043,1
2115,Vihaan Gupta,38,495139,Salaried,654,307817,Education,58191,1
2116,Arjun Gupta,42,363561,Contract,714,611076,Car Purchase,54685,0
2117,Sai Gupta,31,188711,Unemployed,618,100000,Home Renovation,61562,0
2118,Atharv Gupta,32,367035,Self-Employed,598,248801,Car Purchase,117712,0
2119,Ishaan Gupta,53,750311,Salaried,669,875428,Home Renovation,143943,0
2120,Ananya Gupta,28,560540,Salaried,588,549708,Medical,78677,0
2121,Diya Gupta,42,547196,Salaried,693,677879,Business Expansion,302343,0
2122,Aadhya Gupta,31,654333,Salaried,631,775637,Education,70308,0
2123,Aarohi Gupta,33,568837,Salaried,626,707622,Car Purchase,184441,0
2124,Anika Gupta,28,435715,Salaried,670,363758,Car Purchase,0,1
2125,Myra Gupta,32,736434,Self-Employed,653,1255796,Medical,189405,0
2126,Sara Gupta,41,684791,Salaried,689,591320,Medical,109178,1
2127,Aisha Gupta,31,424009,Contract,577,811223,Debt Consolidation,129993,0
2128,Aarav Das,40,531357,Salaried,671,363172,Debt Consolidation,225766,0
2129,Vivaan Das,29,697948,Salaried,572,1171645,Debt Consolidation,115161,0
2130,Aditya Das,24,766579,Contract,606,887167,Car Purchase,188318,0
2131,Vihaan Das,33,356708,Salaried,674,697565,Education,75436,0
2132,Arjun Das,24,483770,Salaried,641,720998,Business Expansion,71521,0
2133,Sai Das,50,472233,Salaried,736,731132,Home Renovation,170623,0
2134,Atharv Das,34,369837,Self-Employed,656,180781,Car Purchase,191295,0
2135,Ishaan Das,23,150000,Unemployed,609,180790,Car Purchase,15477,0
2136,Ananya Das,49,470272,Contract,671,758190,Business Expansion,162373,0
2137,Diya Das,35,613886,Contract,691,1235534,Business Expansion,90009,0
2138,Aadhya Das,40,1445081,Self-Employed,742,1147155,Car Purchase,269354,1
2139,Aarohi Das,39,495414,Self-Employed,764,225723,Home Renovation,116672,1
2140,Anika Das,28,537808,Salaried,627,689106,Home Renovation,20547,0
2141,Myra Das,38,912184,Self-Employed,569,100000,Car Purchase,104682,1
2142,Sara Das,47,314821,Salaried,705,100000,Debt Consolidation,132234,1
2143,Aisha Das,46,709244,Salaried,699,481568,Medical,205043,1
2144,Aarav Mehta,21,616922,Salaried,594,1196338,Home Renovation,141320,0
2145,Vivaan Mehta,29,757487,Self-Employed,591,1516069,Education,4595,0
2146,Aditya Mehta,34,638555,Salaried,572,541986,Education,183984,0
2147,Vihaan Mehta,39,562588,Salaried,614,100000,Education,13001,1
2148,Arjun Mehta,44,384506,Contract,667,326404,Debt Consolidation,109898,0
2149,Sai Mehta,25,673495,Salaried,706,484544,Business Expansion,246352,1
2150,Atharv Mehta,42,610034,Salaried,587,300038,Medical,421327,0
2151,Ishaan Mehta,43,375507,Salaried,685,610562,Medical,57224,0
2152,Ananya Mehta,41,150000,Unemployed,615,208490,Home Renovation,36897,0
2153,Diya Mehta,43,818689,Salaried,630,450183,Education,404979,0
2154,Aadhya Mehta,37,366198,Salaried,648,237101,Debt Consolidation,102875,1
2155,Aarohi Mehta,21,413800,Self-Employed,633,341973,Business Expansion,146971,0
2156,Anika Mehta,23,421013,Self-Employed,658,708742,Business Expansion,12922,0
2157,Myra Mehta,27,254311,Salaried,590,279484,Medical,40652,0
2158,Sara Mehta,45,689835,Salaried,702,725893,Education,178501,1
2159,Aisha Mehta,21,448387,Salaried,664,793321,Business Expansion,177970,0
2160,Aarav Bose,32,477556,Contract,571,100000,Education,99283,1
2161,Vivaan Bose,39,580935,Salaried,632,338004,Car Purchase,159479,0
2162,Aditya Bose,27,499507,Salaried,603,1037575,Home Renovation,166163,0
2163,Vihaan Bose,22,247765,Unemployed,637,164087,Debt Consolidation,59148,0
2164,Arjun Bose,36,1187854,Salaried,683,867069,Debt Consolidation,503771,1
2165,Sai Bose,32,702908,Salaried,623,581969,Debt Consolidation,270084,0
2166,Atharv Bose,39,685807,Salaried,620,886953,Home Renovation,145701,0
2167,Ishaan Bose,33,516361,Salaried,702,100000,Medical,254829,1
2168,Ananya Bose,30,572203,Salaried,674,365986,Car Purchase,10053,1
2169,Diya Bose,42,345250,Unemployed,644,268895,Car Purchase,170643,0
2170,Aadhya Bose,26,421276,Salaried,641,478727,Medical,56663,1
2171,Aarohi Bose,48,732853,Salaried,629,671501,Medical,162427,0
2172,Anika Bose,48,625718,Salaried,687,264113,Debt Consolidation,92522,1
2173,Myra Bose,34,420015,Self-Employed,688,289202,Medical,28484,1
2174,Sara Bose,44,567843,Salaried,646,393123,Education,161154,1
2175,Aisha Bose,40,755281,Salaried,625,444985,Business Expansion,88019,1
2176,Aarav Nair,35,193904,Contract,615,235223,Education,45675,0
2177,Vivaan Nair,31,493257,Contract,603,757705,Medical,115997,0
2178,Aditya Nair,29,629001,Salaried,624,890345,Debt Consolidation,249814,0
2179,Vihaan Nair,34,993394,Self-Employed,609,100000,Home Renovation,327277,1
2180,Arjun Nair,28,611115,Salaried,580,697336,Medical,156088,0
2181,Sai Nair,32,532149,Contract,535,887266,Debt Consolidation,233328,0
2182,Atharv Nair,29,192657,Unemployed,601,123720,Education,38422,0
2183,Ishaan Nair,47,866223,Salaried,652,1114139,Medical,125385,0
2184,Ananya Nair,26,364385,Contract,535,115668,Medical,78811,0
2185,Diya Nair,31,150000,Unemployed,577,269826,Car Purchase,28738,0
2186,Aadhya Nair,30,619787,Salaried,608,100000,Education,152070,1
2187,Aarohi Nair,29,460295,Salaried,630,753382,Car Purchase,153312,0
2188,Anika Nair,28,211464,Self-Employed,597,136758,Car Purchase,85851,0
2189,Myra Nair,37,509735,Salaried,685,100000,Medical,166326,1
2190,Sara Nair,45,933343,Salaried,630,981606,Car Purchase,242111,0
2191,Aisha Nair,41,695571,Contract,522,791231,Education,193274,0
2192,Aarav Rao,40,810361,Salaried,715,1281203,Home Renovation,289982,0
2193,Vivaan Rao,33,187456,Unemployed,642,102051,Business Expansion,45377,0
2194,Aditya Rao,35,593627,Salaried,687,297993,Home Renovation,201248,1
2195,Vihaan Rao,26,271515,Salaried,663,194887,Business Expansion,73894,1
2196,Arjun Rao,37,718921,Salaried,674,1070170,Car Purchase,208404,0
2197,Sai Rao,24,586511,Salaried,680,687277,Car Purchase,76299,1
2198,Atharv Rao,34,632258,Self-Employed,614,1088958,Car Purchase,213674,0
2199,Ishaan Rao,46,515118,Self-Employed,625,816190,Car Purchase,147630,0
2200,Ananya Rao,33,352038,Salaried,687,616532,Business Expansion,39073,0
2201,Diya Rao,43,272080,Contract,685,381047,Education,106595,0
2202,Aadhya Rao,23,366880,Salaried,662,736473,Medical,71202,0
2203,Aarohi Rao,21,899881,Salaried,568,610193,Medical,395396,0
2204,Anika Rao,30,600913,Salaried,638,1481593,Business Expansion,160217,0
2205,Myra Rao,41,445559,Salaried,714,691907,Business Expansion,67996,0
2206,Sara Rao,25,504952,Salaried,604,646356,Business Expansion,115994,0
2207,Aisha Rao,41,735845,Salaried,688,165932,Medical,64566,1
2208,Aarav Mishra,37,150000,Unemployed,632,297611,Medical,18255,0
2209,Vivaan Mishra,21,432195,Contract,561,561680,Debt Consolidation,4665,0
2210,Aditya Mishra,36,779171,Self-Employed,643,568129,Home Renovation,211852,0
2211,Vihaan Mishra,41,367128,Unemployed,580,443158,Debt Consolidation,42635,0
2212,Arjun Mishra,42,407944,Salaried,650,432132,Home Renovation,101128,1
2213,Sai Mishra,33,561762,Salaried,668,941819,Medical,282838,0
2214,Atharv Mishra,41,348362,Salaried,616,364617,Home Renovation,213273,0
2215,Ishaan Mishra,30,955761,Salaried,666,1520016,Medical,513441,0
2216,Ananya Mishra,52,750963,Salaried,682,928052,Home Renovation,317314,0
2217,Diya Mishra,31,1091980,Salaried,674,1105225,Education,610006,0
2218,Aadhya Mishra,35,652846,Self-Employed,552,701763,Education,159633,0
2219,Aarohi Mishra,35,954208,Salaried,643,1130919,Debt Consolidation,311751,0
2220,Anika Mishra,49,1095408,Salaried,634,1903458,Education,122378,0
2221,Myra Mishra,21,375829,Salaried,575,654394,Car Purchase,79143,0
2222,Sara Mishra,44,652039,Salaried,678,836410,Education,246416,0
2223,Aisha Mishra,38,365303,Salaried,765,345250,Education,101342,1
2224,Aarav Chopra,30,1058268,Self-Employed,641,405315,Medical,178455,1
2225,Vivaan Chopra,26,485404,Contract,542,494670,Home Renovation,102765,0
2226,Aditya Chopra,30,150000,Unemployed,547,174212,Home Renovation,14793,0
2227,Vihaan Chopra,34,150000,Contract,566,223554,Medical,26142,0
2228,Arjun Chopra,30,837746,Contract,566,279603,Medical,285919,0
2229,Sai Chopra,41,528817,Contract,600,244052,Education,155787,0
2230,Atharv Chopra,39,457615,Salaried,721,100000,Car Purchase,183907,1
2231,Ishaan Chopra,39,434005,Contract,644,127140,Home Renovation,151953,0
2232,Ananya Chopra,31,362748,Salaried,627,312327,Medical,18808,1
2233,Diya Chopra,31,537272,Salaried,665,801605,Car Purchase,78192,0
2234,Aadhya Chopra,42,449385,Salaried,686,390805,Home Renovation,236254,0
2235,Aarohi Chopra,21,487139,Salaried,587,757182,Home Renovation,43759,0
2236,Anika Chopra,44,562501,Salaried,610,678458,Car Purchase,98787,0
2237,Myra Chopra,27,587381,Salaried,652,811221,Education,203403,0
2238,Sara Chopra,34,734120,Salaried,616,1347427,Business Expansion,131930,0
2239,Aisha Chopra,35,308449,Salaried,647,384780,Debt Consolidation,0,0
2240,Aarav Ghosh,37,536635,Salaried,698,789119,Business Expansion,116812,0
2241,Vivaan Ghosh,33,262039,Salaried,593,274640,Medical,95384,0
2242,Aditya Ghosh,37,597826,Salaried,566,426127,Medical,20224,1
2243,Vihaan Ghosh,33,683491,Salaried,618,724774,Home Renovation,198416,0
2244,Arjun Ghosh,34,306930,Contract,591,410627,Car Purchase,25006,0
2245,Sai Ghosh,41,923534,Salaried,650,1792082,Debt Consolidation,251218,0
2246,Atharv Ghosh,43,887510,Self-Employed,661,1363676,Education,112897,0
2247,Ishaan Ghosh,33,298790,Contract,653,503790,Debt Consolidation,126556,0
2248,Ananya Ghosh,25,541653,Salaried,625,962352,Car Purchase,109629,0
2249,Diya Ghosh,35,416368,Salaried,656,385148,Car Purchase,91094,1
2250,Aadhya Ghosh,41,366539,Contract,613,590604,Education,9986,0
2251,Aarohi Ghosh,25,745420,Salaried,627,975039,Education,346630,0
2252,Anika Ghosh,46,634143,Salaried,669,847525,Debt Consolidation,151410,1
2253,Myra Ghosh,32,353252,Salaried,639,623259,Business Expansion,129625,0
2254,Sara Ghosh,45,453888,Salaried,726,854915,Education,121040,0
2255,Aisha Ghosh,26,559157,Salaried,569,285758,Car Purchase,18090,1
2256,Aarav Sharma,39,487274,Salaried,662,555371,Education,138555,0
2257,Vivaan Sharma,28,692109,Self-Employed,623,180164,Car Purchase,214267,1
2258,Aditya Sharma,33,830432,Salaried,622,748979,Education,130272,1
2259,Vihaan Sharma,40,452231,Salaried,679,314552,Car Purchase,32808,1
2260,Arjun Sharma,43,1757097,Self-Employed,636,1726199,Education,103010,1
2261,Sai Sharma,48,933472,Salaried,662,1111422,Car Purchase,226502,0
2262,Atharv Sharma,29,592986,Contract,611,982496,Debt Consolidation,145643,0
2263,Ishaan Sharma,61,349563,Salaried,793,304329,Home Renovation,26707,1
2264,Ananya Sharma,44,557685,Self-Employed,678,493487,Education,146914,0
2265,Diya Sharma,26,409196,Salaried,675,428053,Medical,150735,0
2266,Aadhya Sharma,43,641445,Salaried,682,595148,Car Purchase,326422,0
2267,Aarohi Sharma,29,819099,Self-Employed,653,1098379,Debt Consolidation,350056,0
2268,Anika Sharma,33,426659,Self-Employed,672,951666,Car Purchase,34510,0
2269,Myra Sharma,35,668647,Salaried,658,925781,Education,85210,0
2270,Sara Sharma,38,452366,Self-Employed,661,100000,Medical,90085,1
2271,Aisha Sharma,44,595969,Salaried,659,352021,Medical,25370,1
2272,Aarav Verma,45,506243,Salaried,695,100000,Car Purchase,295043,1
2273,Vivaan Verma,36,872744,Salaried,675,859724,Medical,151556,1
2274,Aditya Verma,27,749797,Salaried,670,1136876,Debt Consolidation,292074,0
2275,Vihaan Verma,21,330025,Contract,573,535940,Education,89911,0
2276,Arjun Verma,37,578247,Salaried,652,556137,Home Renovation,210139,0
2277,Sai Verma,28,623850,Salaried,637,384296,Education,174630,1
2278,Atharv Verma,26,782672,Salaried,664,719006,Education,337004,0
2279,Ishaan Verma,34,797391,Salaried,706,899684,Education,274798,1
2280,Ananya Verma,31,840088,Self-Employed,671,1168657,Car Purchase,200474,0
2281,Diya Verma,34,329296,Contract,620,263330,Home Renovation,53304,0
2282,Aadhya Verma,32,667380,Salaried,582,100000,Medical,178759,1
2283,Aarohi Verma,36,556162,Salaried,625,473465,Car Purchase,238760,0
2284,Anika Verma,39,532539,Salaried,618,754770,Education,222147,0
2285,Myra Verma,33,577972,Salaried,658,160206,Business Expansion,278786,1
2286,Sara Verma,39,980740,Contract,636,1193110,Car Purchase,531110,0
2287,Aisha Verma,22,404345,Salaried,602,798594,Education,52746,0
2288,Aarav Iyer,35,223094,Unemployed,599,136925,Debt Consolidation,34021,0
2289,Vivaan Iyer,25,150000,Unemployed,624,188358,Home Renovation,38863,0
2290,Aditya Iyer,40,497390,Salaried,707,404588,Home Renovation,118680,1
2291,Vihaan Iyer,34,708251,Salaried,651,1136098,Car Purchase,119283,0
2292,Arjun Iyer,40,723840,Self-Employed,595,1690325,Medical,201769,0
2293,Sai Iyer,23,492215,Salaried,651,505985,Business Expansion,150452,0
2294,Atharv Iyer,41,525343,Salaried,637,268958,Debt Consolidation,235114,0
2295,Ishaan Iyer,34,479654,Contract,576,412247,Home Renovation,195308,0
2296,Ananya Iyer,36,361650,Self-Employed,627,100000,Education,90374,1
2297,Diya Iyer,35,220693,Contract,574,334479,Car Purchase,28091,0
2298,Aadhya Iyer,32,430783,Salaried,598,492980,Home Renovation,4097,0
2299,Aarohi Iyer,21,534308,Self-Employed,536,283726,Home Renovation,262626,0
2300,Anika Iyer,36,505703,Salaried,664,1088739,Business Expansion,170756,0
2301,Myra Iyer,42,457828,Salaried,707,373446,Medical,104004,1
2302,Sara Iyer,33,917038,Salaried,670,622435,Medical,46928,1
2303,Aisha Iyer,21,437804,Contract,560,702651,Debt Consolidation,172345,0
2304,Aarav Kumar,35,854810,Salaried,651,1687152,Car Purchase,299119,0
2305,Vivaan Kumar,40,220702,Salaried,624,308166,Home Renovation,19228,0
2306,Aditya Kumar,32,803528,Salaried,699,585850,Medical,82622,1
2307,Vihaan Kumar,23,523289,Self-Employed,567,129518,Debt Consolidation,141969,1
2308,Arjun Kumar,28,857054,Self-Employed,646,100000,Home Renovation,227801,1
2309,Sai Kumar,36,388614,Self-Employed,606,377595,Debt Consolidation,128561,0
2310,Atharv Kumar,43,765616,Salaried,683,1063023,Home Renovation,248566,0
2311,Ishaan Kumar,32,524465,Self-Employed,661,1024408,Home Renovation,220888,0
2312,Ananya Kumar,26,543861,Self-Employed,591,524734,Education,253799,0
2313,Diya Kumar,35,2846719,Self-Employed,729,100000,Medical,1534767,1
2314,Aadhya Kumar,38,349294,Contract,656,546424,Home Renovation,165578,0
2315,Aarohi Kumar,29,970966,Self-Employed,674,761808,Home Renovation,280791,0
2316,Anika Kumar,34,496845,Salaried,683,789298,Car Purchase,113974,0
2317,Myra Kumar,30,281059,Self-Employed,610,369765,Car Purchase,63379,0
2318,Sara Kumar,40,728908,Salaried,694,909392,Home Renovation,254544,0
2319,Aisha Kumar,24,206640,Unemployed,576,313944,Home Renovation,23012,0
2320,Aarav Patel,35,325995,Salaried,673,467239,Debt Consolidation,201492,0
2321,Vivaan Patel,28,629377,Salaried,639,482133,Business Expansion,89080,0
2322,Aditya Patel,24,722452,Salaried,683,100000,Education,290462,1
2323,Vihaan Patel,52,383790,Salaried,715,271085,Home Renovation,170785,1
2324,Arjun Patel,35,494081,Salaried,680,818135,Debt Consolidation,118911,0
2325,Sai Patel,28,935459,Self-Employed,691,1332743,Car Purchase,231940,0
2326,Atharv Patel,33,721520,Salaried,721,728173,Home Renovation,127083,1
2327,Ishaan Patel,50,864485,Self-Employed,691,373759,Medical,69788,1
2328,Ananya Patel,47,766034,Salaried,701,799974,Medical,245743,0
2329,Diya Patel,37,226161,Salaried,646,305007,Home Renovation,106401,0
2330,Aadhya Patel,31,739091,Contract,642,2144807,Business Expansion,233118,0
2331,Aarohi Patel,30,730040,Salaried,620,1067816,Home Renovation,182958,0
2332,Anika Patel,31,1358397,Self-Employed,602,1788435,Business Expansion,239276,0
2333,Myra Patel,39,758322,Salaried,625,802383,Home Renovation,62515,1
2334,Sara Patel,24,220773,Contract,559,100000,Debt Consolidation,88492,0
2335,Aisha Patel,27,413101,Salaried,623,761934,Home Renovation,167292,0
2336,Aarav Singh,30,261469,Salaried,555,144480,Car Purchase,23570,0
2337,Vivaan Singh,42,745238,Salaried,660,406304,Education,233814,1
2338,Aditya Singh,32,480155,Salaried,631,237394,Medical,72449,1
2339,Vihaan Singh,35,631442,Salaried,594,1320595,Debt Consolidation,0,0
2340,Arjun Singh,35,343173,Salaried,671,140206,Home Renovation,133370,1
2341,Sai Singh,41,538945,Salaried,670,630670,Business Expansion,166895,0
2342,Atharv Singh,35,325459,Salaried,656,710596,Debt Consolidation,44018,0
2343,Ishaan Singh,37,883263,Contract,626,100000,Home Renovation,265643,1
2344,Ananya Singh,43,1631244,Contract,607,1596213,Home Renovation,0,0
2345,Diya Singh,32,751062,Salaried,627,1276839,Education,211568,0
2346,Aadhya Singh,26,424619,Salaried,615,274827,Education,94401,1
2347,Aarohi Singh,33,335075,Contract,648,258936,Education,63432,0
2348,Anika Singh,35,441234,Salaried,706,785710,Education,292324,0
2349,Myra Singh,38,429104,Self-Employed,615,466868,Car Purchase,141314,0
2350,Sara Singh,31,467549,Self-Employed,688,504989,Medical,91783,0
2351,Aisha Singh,34,359130,Self-Employed,602,130860,Business Expansion,54654,1
2352,Aarav Reddy,42,730262,Salaried,630,100000,Medical,208901,1
2353,Vivaan Reddy,29,1011821,Self-Employed,629,172511,Car Purchase,244937,1
2354,Aditya Reddy,33,848844,Salaried,695,771348,Medical,275449,0
2355,Vihaan Reddy,40,935331,Self-Employed,631,100000,Car Purchase,162646,1
2356,Arjun Reddy,32,641804,Salaried,655,896065,Business Expansion,135088,0
2357,Sai Reddy,48,560356,Salaried,657,803510,Car Purchase,163222,0
2358,Atharv Reddy,41,527345,Contract,616,901038,Business Expansion,91985,0
2359,Ishaan Reddy,26,797850,Salaried,631,738190,Car Purchase,200038,0
2360,Ananya Reddy,48,478010,Unemployed,619,249800,Education,231601,0
2361,Diya Reddy,43,579323,Salaried,729,406160,Car Purchase,13868,1
2362,Aadhya Reddy,40,736622,Salaried,665,1247752,Debt Consolidation,111993,0
